"id","code","name","definition","level","comments","source_id/id","system"
hc_procedure.proc_not_perf_rsn_165081006,"165081006","Exercise tolerance test not done","Exercise tolerance test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_167594003,"167594003","Feces not examined","Feces not examined (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_163128002,"163128002","GIT not examined","Gastrointestinal tract not examined (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_163348001,"163348001","General examination not done","General examination not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_162675007,"162675007","GU system not examined","Genitourinary system not examined (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_715621003,"715621003","Heart failure education not done","Heart failure education not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_165377003,"165377003","Hematology test request - not done","Hematology test request - not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4501000175108,"4501000175108","Hemoglobin A1C test not done","Hemoglobin A1C test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_165393007,"165393007","Hemoglobin not estimated","Hemoglobin not estimated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_266881002,"266881002","History not obtained","History not obtained (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4511000175106,"4511000175106","Hyperlipidemia screening test not done","Hyperlipidemia screening test not done (situation) aka Lipid screening test not done","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_397004005,"397004005","Immunophenotypic analysis not done","Immunophenotypic analysis not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164985005,"164985005","Kveim test not done","Kveim test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_165343008,"165343008","Laboratory test requested - not done","Laboratory test requested - not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_165017002,"165017002","Lung function testing not done","Lung function testing not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_165026004,"165026004","Lung volume test not done","Lung volume test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_443788002,"443788002","Maternal postnatal examination not attended","Maternal postnatal examination not attended (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_266756008,"266756008","Medical care unavailable","Medical care unavailable (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_371900001,"371900001","Medication not administered","Medication not administered (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_165104002,"165104002","Metabolic function not tested","Metabolic function not tested (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164831009,"164831009","Musculoskeletal test not done","Musculoskeletal test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164713001,"164713001","Neurological diagnostic procedure - not done","Neurological diagnostic procedure - not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_396781004,"396781004","No chemotherapy AND/OR radiation therapy prior to lymphadenectomy","No chemotherapy AND/OR radiation therapy prior to lymphadenectomy (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_182849000,"182849000","No drug therapy prescribed","No drug therapy prescribed (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_416128008,"416128008","No history of procedure","No history of procedure (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_418731009,"418731009","No stain applied","No stain applied (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_165122004,"165122004","Non-surgical biopsy not done","Non-surgical biopsy not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_163628001,"163628001","On examination - sensory system not examined","On examination - sensory system not examined (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164503006,"164503006","Orthopedic exam. not done","Orthopedic examination not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_391016008,"391016008","Osteoporosis risk assessment defaulted","Osteoporosis risk assessment defaulted (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_162650008,"162650008","Patient not examined","Patient not examined (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_698569004,"698569004","Postnatal depression not discussed","Postnatal depression not discussed (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_418014008,"418014008","Procedure not ordered","Procedure not ordered (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_712751006,"712751006","Radiation therapy not done","Radiation therapy not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_168497006,"168497006","Radiographic imaging procedure not carried out","Radiographic imaging procedure not carried out (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_408836004,"408836004","Sample not obtained","Sample not obtained (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164776000,"164776000","Special cardiovascular system test not done","Special cardiovascular system test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164766003,"164766003","Special ENT procedure not done","Special ear, nose and throat procedure not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164808009,"164808009","Special female test not done","Special female test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164786004,"164786004","Special GIT test not done","Special gastrointestinal tract test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164823004,"164823004","Special male test not done","Special male test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164795007,"164795007","Special urinary test not done","Special urinary test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164964005,"164964005","Susceptibility skin test not done","Susceptibility skin test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4231000175102,"4231000175102","Tobacco usage screening not done","Tobacco cessation education not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_309846006,"309846006","Treatment not available","Treatment not available (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_167317008,"167317008","Urine bacteria test not done","Urine bacteria test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_167260001,"167260001","Urine glucose test not done","Urine glucose test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_167286006,"167286006","Urine ketone test not done","Urine ketone test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_394965000,"394965000","Urine leukocyte test not done","Urine leukocyte test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_167219008,"167219008","Urine not examined","Urine not examined (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_167306007,"167306007","Urine pH test not done","Urine pH test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_167272007,"167272007","Urine protein test not done","Urine protein test not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_167322008,"167322008","Urine urobilinogen not tested","Urine urobilinogen not tested (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164725003,"164725003","Visual testing not done","Visual testing not done (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_441989008,"441989008","Delayed hypersensitivity skin test for histoplasmin not done","Delayed hypersensitivity skin test for histoplasmin not done (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164997006,"164997006","Hypersensitivity skin test not done","Hypersensitivity skin test not done (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164978006,"164978006","Mantoux test not done","Mantoux test not done (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_401318002,"401318002","Shuttle walking test not done","Shuttle walking test not done (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170171008,"170171008","10 year examination not attended","10 year examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170180008,"170180008","15 year examination not attended","15 year examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170135007,"170135007","18 month examination not attended","18 month examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170144008,"170144008","2.5 year examination not attended","2.5 year examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170153001,"170153001","3.5 year examination not attended","3.5 year examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170162004,"170162004","4.5 year examination not attended","4.5 year examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170126000,"170126000","8-9 month exam not attended","8-9 month exam not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170257006,"170257006","Child 1 year examination not attended","Child 1 year examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170275007,"170275007","Child 21 month examination not attended","Child 21 month examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170284007,"170284007","Child 3 year exam not attended","Child 3 year exam not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170293008,"170293008","Child 39 month examination not attended","Child 39 month examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170266005,"170266005","Child 6 month examination not attended","Child 6 month examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170117003,"170117003","Child 6 week examination not attended","Child 6 week examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_408504000,"408504000","Child 7 month examination not attended","Child 7 month examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170304008,"170304008","Child 8 week examination not attended","Child 8 week examination not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170108003,"170108003","Child not examined at 10 days","Child not examined at 10 days (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_170100005,"170100005","Child not examined at birth","Child not examined at birth (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_5991000175105,"5991000175105","Peak expiratory flow not done","Peak expiratory flow not done (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_165035006,"165035006","Respiratory flow rate not measured","Respiratory flow rate not measured (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4541000175105,"4541000175105","Spirometry not done","Spirometry not done (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_183930009,"183930009","Awaiting admission elsewhere","Awaiting admission elsewhere (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_183929004,"183929004","No home medical services","No home medical services (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_183928007,"183928007","Residence remote from medical care","Residence remote from medical care (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_373147003,"373147003","Medication not administered because contraindicated","Administration of medication not done due to contraindication (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_373148008,"373148008","Thrombolytic agent not administered because contraindicated","Thrombolytic agent not administered because contraindicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_712985002,"712985002","Chemotherapy not done","Chemotherapy not done (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_6041000175108,"6041000175108","Hepatitis A vaccination not done","Hepatitis A vaccination not done (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_6051000175105,"6051000175105","Hepatitis B vaccination not done","Hepatitis B vaccination not done (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4521000175102,"4521000175102","Measles mumps and rubella vaccination not done","Measles mumps and rubella vaccination not done (situation) aka MMR (measles, mumps, rubella) vaccination not done","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_6021000175100,"6021000175100","Vaccination for diphtheria, pertussis, and tetanus not done","Vaccination for diphtheria, pertussis, and tetanus not done (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_6031000175102,"6031000175102","Varicella vaccination not done","Varicella vaccination not done (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4431000175103,"4431000175103","Asthma medication not prescribed","Asthma medication not prescribed (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_6011000175109,"6011000175109","Inhaled bronchodilator not prescribed","Inhaled bronchodilator not prescribed (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_4571000175101,"4571000175101","Lipid lowering medication not prescribed","Lipid lowering medication not prescribed (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_6001000175106,"6001000175106","Systemic corticosteroid not prescribed","Systemic corticosteroid not prescribed (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_715622005,"715622005","Warfarin not prescribed","Warfarin not prescribed (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_169607004,"169607004","No antenatal care","No antenatal care (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_169611005,"169611005","No antenatal care: subject unaware of pregnancy","No antenatal care: subject unaware of pregnancy (situation) aka No antenatal care: not known pregnant","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_698753008,"698753008","No history of cervical smear","No history of cervical smear (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_703942005,"703942005","No history of mammogram","No history of mammogram (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_162980001,"162980001","Cardiovascular system not examined","Cardiovascular system not examined (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164176006,"164176006","ENT examination not performed","Ear, nose and throat examination not performed (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_163582008,"163582008","Nervous system not examined","Nervous system not examined (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_163900009,"163900009","O/E - CNS not examined","On examination - central nervous system not examined (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164445005,"164445005","O/E - extremities not examined","On examination - extremities not examined (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164321005,"164321005","O/E - skin not examined","On examination - skin not examined (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_164286000,"164286000","O/E - temperature not taken","On examination - temperature not taken (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_162882008,"162882008","Respiratory system not examined","Respiratory system not examined (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_390848004,"390848004","Retinae not examined","Retinae not examined (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_310352003,"310352003","Mammography not attended","Mammography not attended (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_408837008,"408837008","Amniocentesis sample not obtained","Amniocentesis sample not obtained (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_167296002,"167296002","Urine blood test not done","Urine blood test not done (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_415667005,"415667005","Administration of sulfonylurea not indicated","Administration of sulfonylurea not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_417218000,"417218000","Carotid ultrasound not indicated","Carotid ultrasound not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_413812009,"413812009","Cervical smear not indicated","Cervical smear not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_413167008,"413167008","Compression bandaging not indicated","Compression bandaging not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_408397002,"408397002","Diabetic foot examination not indicated","Diabetic foot examination not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_408396006,"408396006","Diabetic retinopathy screening not indicated","Diabetic retinopathy screening not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_417013004,"417013004","DXA scan not indicated","Dual X-ray absorptiometry scan not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_709198003,"709198003","Education not indicated","Education not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_699048004,"699048004","Exercise tolerance test not indicated","Exercise tolerance test not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_703971006,"703971006","Hepatitis A vaccination not indicated","Hepatitis A vaccination not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_707287001,"707287001","Hepatitis B vaccination not indicated","Hepatitis B vaccination not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_407573008,"407573008","Influenza vaccination not indicated","Influenza vaccination not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_712740006,"712740006","Medication monitoring not indicated","Medication monitoring not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_415119001,"415119001","Pneumococcal vaccination not indicated","Pneumococcal vaccination not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_704052004,"704052004","Referral to cardiac rehabilitation program not indicated","Referral to cardiac rehabilitation program not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_704096004,"704096004","Referral to heart failure exercise program not indicated","Referral to heart failure exercise program not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_408398007,"408398007","Smoking review not indicated","Smoking review not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_415570002,"415570002","Spirometry not indicated","Spirometry not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_183965009,"183965009","Surgery not indicated","Surgery not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_707853004,"707853004","Testing for Ebola virus not indicated","Testing for Ebola virus not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_183964008,"183964008","Treatment not indicated","Treatment not indicated (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_183966005,"183966005","Drug treatment not indicated","Drug treatment not indicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_135807000,"135807000","Lipid lowering therapy not indicated","Lipid lowering therapy not indicated (situation)","4","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_407572003,"407572003","Angiotensin II receptor antagonist not indicated","Angiotensin converting enzyme inhibitor not indicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_134390006,"134390006","Angiotensin converting enzyme inhibitor not indicated","Angiotensin II receptor antagonist not indicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_700384008,"700384008","Antibiotic prophylaxis not indicated","Antibiotic prophylaxis not indicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_413560001,"413560001","Anticoagulation not indicated","Anticoagulation not indicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_134394002,"134394002","Aspirin not indicated","Aspirin not indicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_315214003,"315214003","Beta blocker not indicated","Beta blocker not indicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_417434004,"417434004","Bisphosphonates not indicated","Bisphosphonates not indicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_135806009,"135806009","Calcium channel blocker not indicated","Calcium channel blocker not indicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_407571005,"407571005","Clopidogrel not indicated","Clopidogrel not indicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_406149000,"406149000","Medication refused","Medication refused (situation)","3","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
hc_procedure.proc_not_perf_rsn_416678006,"416678006","Combined calcium and vitamin D3 preparation not indicated","Combined calcium and vitamin D3 preparation not indicated (situation)","5","","base.snomed","http://hl7.org/fhir/ValueSet/procedure-not-performed-reason"
